Name,I don.t feel particularly pleased with the way I am,I am intensely interested in other people,I feel that life is very rewarding,I have very warm feelings towards almost everyone,I rarely wake up feeling rested,I am not particularly optimistic about the future,I find most things amusing,I am always committed and involved,Life is good,I don.t think that the world is a good place,I laugh a lot,I am well satisfied about everything in my life,I don.t think I look attractive,There is a gap between what I would like to do and what I have done,I am very happy,I find beauty in some things,I always have a cheerful effect on others,I can fit in everything I want to,I feel that I am not especially in control of my life,I feel able to take anything on,I feel fully mentally alert,I often experience joy and elation,I do not find it easy to make decisions,I do not have a particular sense of meaning and purpose in my life,I feel I have a great deal of energy,I usually have a good influence on events,I do not have fun with other people,I don.t feel particularly healthy,I do not have particularly happy memories of the past
Albino Peacock,5,4,6,6,3,3,6,6,4,3,4,4,4,6,4,7,2,2,2,2,2,6,6,2,4,2,3,5,1
Alakay,3,6,7,7,1,1,7,7,7,1,7,7,1,1,7,7,7,6,1,7,7,7,6,1,7,7,3,1,1
Coldplayer,6,4,1,3,7,3,1,6,2,3,1,1,1,7,3,7,1,2,7,3,1,3,7,1,3,3,3,7,3
Batman,1,6,6,6,3,1,6,7,6,3,7,6,6,4,4,7,6,3,3,3,7,6,1,1,6,7,1,5,3
Captain,6,7,3,3,5,7,3,7,3,7,3,3,3,7,3,7,7,7,7,7,5,7,7,7,7,7,1,3,1
Batman.1,3,5,6,3,4,3,2,4,6,3,5,3,3,6,6,7,6,6,3,6,6,7,5,5,6,6,3,1,1
apps,5,4,7,6,6,6,6,6,6,3,6,5,6,6,5,6,6,5,6,4,4,5,4,5,7,6,5,7,2
Bauer,3,5,6,4,2,3,3,7,7,3,4,2,3,5,4,6,4,4,2,5,5,5,7,5,7,7,4,4,3
Andy,5,6,5,6,4,5,4,7,6,4,4,5,5,7,6,6,5,6,6,6,5,5,5,2,6,6,5,5,6
Aflatoon,3,5,5,6,4,3,4,2,6,3,7,6,3,1,5,5,5,6,3,6,5,6,6,2,5,5,2,6,1
AshBa,2,4,6,4,6,3,3,6,4,3,6,1,6,7,2,7,6,2,2,7,6,6,3,5,5,6,3,5,1
Bachchan,3,6,6,7,3,3,4,4,7,3,4,6,3,2,5,7,4,5,5,5,4,4,6,3,4,6,1,1,2
Bruce Wayn,6,7,6,6,2,5,5,4,6,5,6,5,7,7,6,6,4,4,5,2,2,5,6,3,4,2,3,2,6
Bruce Wane,3,4,7,5,2,3,6,6,7,4,7,7,3,4,5,7,7,6,6,7,7,7,4,2,7,6,3,3,3
Darsh,3,5,5,4,6,3,4,6,6,2,6,5,5,5,5,5,6,5,2,4,4,6,2,3,6,5,3,5,3
crossfit,3,5,6,6,6,3,4,7,6,3,7,5,1,6,5,2,6,4,3,6,5,6,2,1,7,7,3,1,1
Captain Planet,5,6,6,6,2,2,6,6,7,3,7,6,6,5,7,7,6,6,5,6,6,7,2,2,7,5,2,5,2
Batman.2,3,6,7,4,5,2,3,4,7,1,3,5,1,7,5,6,2,4,1,5,6,7,5,1,5,5,1,3,3
BLUE,3,5,6,6,3,3,5,6,6,3,5,4,2,2,5,5,6,6,3,6,6,6,3,2,6,6,2,2,3
Bruce Bayne,6,7,6,4,6,2,7,6,6,2,5,2,6,6,4,7,4,2,2,5,4,6,2,4,5,5,3,6,1
catalyst,5,2,7,7,3,1,1,7,7,1,7,7,1,4,7,7,7,5,4,6,6,6,6,6,6,6,3,2,1
Byomkesh Bakshi,3,5,5,2,2,3,6,7,6,3,6,5,2,5,6,6,6,2,3,6,7,6,1,3,2,6,3,5,1
Al Qaeda,5,7,5,6,6,3,7,2,5,2,5,2,5,6,5,5,4,5,4,2,2,5,5,5,4,2,3,2,3
Ariel,3,4,7,7,7,3,5,6,6,1,5,4,5,6,4,6,2,6,3,5,6,6,3,3,4,7,3,6,1
Arondyke,6,3,5,1,3,3,5,5,2,5,6,3,6,7,3,6,3,3,2,5,5,6,3,3,6,5,3,2,3
Bootnap,2,7,6,5,2,4,7,2,5,3,7,6,3,7,5,6,6,6,6,5,2,6,7,3,6,4,1,3,3
AmoebaBoy,4,2,4,4,2,3,5,5,5,2,6,4,2,2,2,5,4,3,2,2,3,5,4,2,4,2,2,5,2
Danaveerasurakarna,1,2,2,4,5,4,2,2,5,6,5,2,2,4,2,2,5,4,4,5,4,5,5,6,5,4,4,4,5
Crime_Master_GOGO,3,2,4,6,3,1,2,6,6,3,6,5,6,7,5,6,6,6,3,5,6,6,1,1,2,6,1,6,1
BIOT,7,3,7,7,7,7,7,7,7,7,7,7,6,2,7,7,7,7,3,5,7,7,3,3,7,5,2,5,3
Calvin,2,2,2,4,5,5,2,6,4,4,2,2,5,3,4,6,4,4,3,5,6,2,4,3,5,5,4,3,5
Batman.3,3,6,6,2,6,1,3,6,6,3,7,5,1,6,6,7,7,6,3,6,6,6,3,3,6,6,3,5,3
Colonel Aureliano BuendA­a,1,7,7,5,3,5,5,6,6,3,2,7,2,7,7,7,5,3,1,4,7,7,2,3,6,6,4,2,2
CrazyRobert,1,7,7,7,1,7,7,7,7,1,7,7,1,1,7,7,7,7,3,7,7,7,3,3,7,7,1,1,1
capt. kirk,4,5,6,6,3,1,6,7,7,1,6,5,3,6,7,7,7,7,4,6,7,7,1,1,4,5,3,1,1
Chandler,4,4,6,6,6,2,6,2,7,3,7,5,2,7,6,7,6,7,5,7,5,6,2,4,5,4,2,6,2
bookthief,5,6,6,6,2,3,6,6,6,3,5,6,6,6,6,6,6,6,3,6,6,6,3,6,6,6,3,3,3
Ariel.1,5,3,4,4,5,4,2,6,5,4,2,4,3,5,4,5,5,2,4,2,6,6,5,2,5,4,1,1,1
Dana Evans,1,2,7,6,4,2,5,7,7,2,7,6,7,4,4,7,7,7,2,7,7,7,3,3,7,7,3,3,3
Beerus Sama,6,7,7,6,1,1,6,7,4,3,6,6,5,7,6,6,6,3,4,6,6,6,3,3,6,6,1,6,1
Alice,4,5,6,6,2,2,6,6,6,3,5,5,4,5,5,6,5,4,5,4,5,6,5,4,4,2,3,4,4
Anakin Skywalker,3,3,4,5,4,3,5,6,6,3,6,6,4,6,6,7,5,3,4,6,7,7,2,3,7,7,3,3,3
deadpool,1,1,7,7,7,1,7,7,7,1,7,6,1,6,7,7,7,1,1,3,6,6,3,3,7,7,3,3,3
Dexter,3,6,6,4,4,3,4,5,7,3,6,2,2,7,6,7,5,6,3,7,5,5,3,3,2,7,2,4,1
Django,2,5,7,6,4,3,6,7,7,3,7,5,3,4,5,5,6,7,3,6,4,5,4,4,7,7,3,5,3
Don,3,2,6,6,2,3,5,6,7,1,5,6,3,6,6,6,5,6,3,6,7,6,3,3,7,6,3,1,3
Dr Seuss,3,3,5,3,3,3,5,4,5,4,6,5,3,3,4,7,3,7,3,6,5,7,3,1,6,7,3,3,1
Duryodhan,2,6,6,6,4,3,5,6,6,3,6,4,3,4,6,6,6,6,3,6,6,6,3,3,6,6,3,3,3
Eklavya,3,6,6,7,3,3,6,6,6,3,5,5,2,5,5,6,6,6,3,6,6,6,2,3,6,6,3,3,3
Eragon,4,4,6,3,3,3,4,6,6,4,6,3,6,6,2,6,4,6,1,6,6,6,4,6,4,6,3,5,1
Ethan Hunt,3,4,6,5,6,3,5,6,6,3,5,6,3,5,5,5,5,6,5,6,6,6,6,3,7,6,3,3,6
FedEx,2,4,2,5,3,3,3,2,4,2,5,4,4,5,2,5,4,4,5,5,4,4,3,3,2,4,2,4,2
filterkaapi,3,2,6,4,3,3,4,6,6,3,6,5,3,4,2,5,5,5,4,5,5,5,6,3,6,6,3,3,3
FInac,5,4,2,4,2,2,5,7,5,5,6,2,5,6,4,6,4,6,3,6,6,6,2,2,5,5,3,3,3
Firefly,3,5,7,6,1,1,6,7,7,1,7,6,1,6,7,6,7,2,4,2,7,7,3,1,7,7,1,1,1
Flash,2,2,6,5,2,3,6,5,6,4,6,5,5,5,6,5,5,6,3,6,6,6,2,5,5,4,3,3,3
Forrest,3,4,5,5,2,1,4,5,6,1,5,5,3,3,6,6,6,6,3,6,6,6,3,1,6,6,3,3,3
Frank Abagnale,6,6,4,2,3,5,2,4,4,5,2,3,6,6,2,2,4,4,5,5,2,2,3,2,4,5,4,4,5
Frodo,3,5,6,6,1,1,7,7,7,3,7,7,3,3,6,6,7,2,3,6,6,7,3,2,6,6,1,3,1
Gandalf,3,2,4,4,5,3,2,6,4,4,4,2,1,6,4,5,4,6,2,5,5,4,2,3,4,5,2,1,3
generalzod,2,2,5,6,6,3,5,6,6,5,5,5,3,5,5,6,6,7,5,7,5,5,2,3,5,5,4,2,2
Ginny,4,3,5,5,3,5,5,6,6,4,5,5,3,6,4,6,4,4,5,2,4,6,6,1,5,5,3,3,1
Goofy.1,1,4,4,6,3,1,2,5,6,5,7,7,7,7,7,7,6,6,1,2,6,7,1,1,7,7,1,6,1
Goofy,6,6,7,7,3,1,4,7,7,1,7,6,7,4,6,6,6,6,4,5,7,7,4,5,5,4,1,7,4
Gregory House,5,5,4,6,7,4,6,7,5,2,4,4,7,7,4,5,4,5,6,4,2,4,4,6,2,6,6,6,3
Hakuna-Matata,5,5,6,5,6,3,6,5,6,3,6,2,5,5,5,6,5,6,2,6,5,6,2,3,5,6,3,3,3
Hans Landa,6,5,3,2,5,6,4,3,3,5,3,3,3,6,4,6,4,4,4,3,3,3,5,6,3,4,3,3,2
Harvey,5,2,6,6,3,1,5,6,7,1,7,2,1,6,6,6,6,6,5,6,6,7,6,1,6,6,3,3,1
Hector Barbossa,2,6,3,6,2,6,5,6,2,6,6,3,7,7,3,5,2,2,6,2,3,2,6,6,2,2,3,6,7
He-man,6,2,7,3,6,4,6,3,4,3,7,1,3,7,3,7,3,3,3,6,6,6,6,3,6,6,3,3,1
Hermione,2,5,6,6,4,2,3,7,6,3,4,2,5,5,5,5,2,2,3,5,5,5,5,2,4,2,3,5,3
Homer Simpson,1,3,7,6,6,1,6,6,7,2,7,7,3,3,7,7,7,7,2,6,7,7,5,3,7,7,3,3,3
Homer Simpsons,3,6,6,2,3,2,4,6,6,3,6,2,4,5,5,6,5,6,3,2,2,3,4,2,6,5,3,5,3
Jack Daniels,3,7,7,6,6,1,5,7,7,1,7,7,1,5,7,7,7,7,1,7,7,7,1,1,7,6,1,1,1
Jacqan Hagar,1,6,7,6,3,1,6,7,7,1,6,5,1,6,6,7,6,6,1,7,7,7,1,1,7,7,1,1,1
Jane Austen,6,5,6,4,3,5,5,6,6,6,5,3,5,3,4,6,4,2,4,6,4,4,3,3,6,5,3,3,4
Jango,3,5,6,5,2,4,6,7,7,3,5,5,2,2,6,6,7,6,2,7,7,7,3,3,4,6,1,3,3
Japan Singh,3,3,6,3,3,3,6,6,6,3,6,3,6,7,5,6,4,6,6,6,4,6,2,2,6,6,2,2,2
Jerry,2,5,6,7,6,2,5,6,6,3,6,5,4,6,6,6,5,6,3,5,5,5,3,3,5,5,3,4,3
Jo March,4,4,5,4,3,5,4,6,5,4,5,4,5,6,5,5,5,4,2,6,5,5,2,3,6,5,3,4,2
Johnny Bravo,1,5,6,5,3,3,6,6,7,3,6,5,2,5,6,7,5,6,3,6,6,6,3,3,6,6,1,5,1
Joker.1,6,4,6,6,6,3,6,6,6,3,6,5,5,6,6,6,6,6,2,6,6,6,3,3,6,6,3,3,3
JOKER,3,4,5,5,5,5,5,6,6,3,4,4,4,4,4,4,4,5,6,7,5,6,6,6,6,6,6,6,6
Jon Snow,3,6,5,5,6,6,7,6,6,5,6,6,6,6,7,6,6,5,6,7,6,6,5,6,5,6,4,5,5
Jughead,1,5,6,6,2,1,5,5,7,1,7,5,2,2,5,5,6,6,2,7,6,6,3,4,6,7,3,2,3
Kate,1,6,6,6,2,1,6,7,6,1,7,6,3,7,6,7,6,5,1,7,7,7,1,1,7,7,1,5,4
Khaleesi,1,2,6,6,6,1,3,6,6,3,7,5,1,3,6,6,6,6,3,6,6,7,3,3,7,7,1,5,3
Khandu,3,6,7,7,3,1,7,6,7,1,7,7,6,6,7,6,6,6,1,6,6,6,3,3,7,6,1,3,1
Kundavai,2,5,5,2,2,4,2,4,2,5,4,2,4,5,4,6,4,4,2,2,5,4,6,2,3,4,2,4,2
Lawrence of Arabia,4,4,4,4,2,5,4,4,4,2,5,4,2,5,4,5,4,4,4,5,5,6,5,2,5,5,4,4,5
Legolas,1,7,6,6,4,1,2,7,7,3,4,5,3,5,5,6,7,6,3,7,7,7,4,1,6,6,3,3,3
LeonidaS,2,5,6,3,3,3,5,6,6,3,4,6,5,4,5,6,4,6,1,7,7,6,1,1,6,4,2,3,3
littlefinger,7,6,6,6,2,1,7,7,6,3,6,6,4,5,6,7,6,6,3,6,6,6,3,1,6,6,3,3,1
Logan,3,2,4,5,4,2,2,4,5,6,4,4,5,4,2,5,5,4,2,4,5,2,4,5,4,2,4,5,4
Lord_Shiva,1,5,6,6,6,1,4,7,7,1,4,6,3,3,6,6,7,6,3,7,7,6,1,1,6,6,3,3,1
Luke Skywalker,2,3,6,6,2,2,2,5,5,3,4,4,4,5,4,5,4,4,2,5,6,4,2,6,5,5,2,3,1
Magi,4,4,6,5,4,2,5,2,6,3,4,4,4,4,5,6,4,2,2,4,4,6,2,2,4,2,4,4,1
Manu,7,6,2,5,6,6,5,2,2,5,2,3,6,7,1,6,6,4,7,2,2,3,6,6,2,7,4,7,3
Martial,2,4,2,5,6,2,5,4,7,3,7,5,1,7,5,5,6,2,5,6,7,6,5,5,5,6,2,2,2
Masha,5,7,7,6,6,3,6,6,7,4,6,6,3,7,6,6,6,3,4,6,6,6,6,2,7,7,1,3,1
Master Yoda,3,5,6,5,6,2,5,5,6,3,5,5,6,6,5,6,5,2,3,6,6,5,3,3,5,5,3,2,3
Maverick,3,3,5,5,3,1,6,6,5,4,5,2,3,6,5,7,2,7,4,6,2,7,2,1,6,7,2,3,1
Mayo,3,5,6,4,6,1,2,5,6,4,6,7,3,5,6,6,5,5,2,6,7,7,5,3,6,6,3,3,3
MidasTouch,3,6,6,6,3,3,5,7,6,1,6,6,3,3,6,6,6,7,3,7,7,6,1,1,7,7,2,3,3
Miss Ima Goodlady,5,7,6,7,7,7,7,7,7,7,7,6,3,7,7,7,7,7,7,5,5,7,6,2,6,6,3,6,1
Moneky,6,6,5,5,7,7,6,6,4,6,7,6,2,7,4,6,6,6,5,6,6,7,7,7,6,7,2,6,5
Monica,6,5,5,4,3,3,6,6,6,3,6,6,3,5,5,6,6,5,3,6,6,6,3,3,5,6,3,3,3
MonkeyMafia,3,5,6,6,2,3,4,7,6,3,5,5,2,6,6,6,4,5,3,6,6,5,2,3,6,6,2,3,3
Mowgli,5,6,4,6,2,6,5,6,6,2,5,6,2,6,5,6,5,6,2,6,5,5,6,2,5,5,2,2,2
Mowgli.1,3,4,6,6,3,1,4,6,6,3,5,6,2,4,7,6,6,6,3,7,6,5,3,3,6,5,3,5,3
Mowgli.2,3,3,6,6,6,3,6,7,7,3,5,4,4,5,6,7,7,6,2,5,2,7,3,1,7,7,4,2,3
NAMO_WORLD_TOUR,3,6,7,7,4,1,7,7,7,1,7,7,6,6,7,7,7,6,3,7,7,7,3,1,7,7,3,3,5
Nancy,3,2,5,6,3,1,5,7,6,3,5,5,3,6,5,6,5,7,2,5,6,5,3,3,6,6,3,3,6
NAO,2,7,4,7,2,4,7,4,6,2,7,2,2,2,2,7,7,4,2,6,6,7,2,2,7,7,2,2,2
Narendra Modi,2,5,5,6,4,2,2,7,5,2,4,2,6,6,4,5,7,2,6,6,2,4,7,4,7,5,2,3,1
Neo.1,6,6,6,5,4,3,5,5,6,2,4,2,3,7,5,5,4,4,6,5,2,6,7,2,2,5,2,5,2
NeO,6,3,6,7,3,5,2,7,6,1,2,3,3,5,2,7,2,3,6,2,2,2,6,3,7,7,2,1,1
Nightwing,1,4,6,6,5,1,6,7,7,1,6,7,1,5,7,7,5,6,1,7,7,7,1,1,7,7,7,1,5
Oprah,6,3,4,3,3,6,3,4,4,4,2,1,2,6,2,6,3,3,7,1,1,2,7,1,1,4,5,6,6
Phoenix,3,6,7,5,2,1,3,6,7,1,5,6,3,6,7,6,4,3,5,5,6,6,2,3,6,7,4,2,2
Pocahontas.1,3,3,6,6,6,3,6,5,6,2,6,6,2,2,6,6,6,5,2,5,4,6,5,3,2,5,2,2,6
Pocahontas,1,3,6,6,6,1,6,7,7,3,4,7,3,4,7,7,6,6,2,6,5,4,4,4,5,5,2,6,3
pooja,3,4,7,7,7,2,7,7,7,5,6,7,6,5,7,7,7,7,7,6,6,4,5,6,6,6,6,6,7
Pulks,2,2,5,5,3,3,4,6,6,4,6,6,5,6,6,6,5,6,3,7,7,7,3,3,6,6,2,2,2
Quick Kick,3,6,7,4,3,2,2,5,7,3,6,6,3,6,6,7,6,3,2,7,6,6,3,3,5,7,3,4,1
Raging Bull,4,2,6,6,4,1,6,6,7,3,7,7,3,6,7,7,4,5,3,7,7,7,2,3,4,6,2,2,7
Rajinikanth,5,4,6,6,2,3,2,6,7,1,6,4,2,6,4,6,6,5,5,6,6,6,3,1,6,6,3,5,3
Rash,2,2,4,6,5,5,4,6,5,4,4,4,5,6,2,4,5,5,2,5,6,4,4,2,4,5,2,4,4
Raven,5,7,7,7,7,3,6,6,5,4,5,3,5,7,2,7,7,6,6,7,7,7,5,1,7,7,1,4,3
RF,6,5,7,6,4,6,6,2,3,4,4,2,6,6,2,7,4,2,6,3,3,6,7,4,4,5,5,2,3
ROCK,3,4,6,5,5,3,2,2,6,2,4,5,2,6,5,5,5,4,4,4,3,6,5,5,5,5,2,2,2
Rocky.1,6,3,6,6,4,3,4,6,6,3,4,3,6,6,3,6,2,2,6,2,6,4,2,2,2,4,6,4,2
rocky,5,5,5,5,2,5,5,5,6,1,6,5,2,6,5,6,6,5,6,5,5,6,6,3,7,6,3,1,1
rohit,3,4,4,4,7,3,4,4,6,3,4,6,3,3,4,4,4,6,6,6,6,6,3,3,4,4,4,3,3
RollerRoyal,2,5,6,6,2,3,6,6,6,3,5,5,2,6,5,6,6,6,4,6,5,7,3,3,7,7,2,3,3
Ron,1,5,7,5,2,2,5,7,7,1,7,6,1,6,6,7,7,7,7,7,7,7,1,1,4,7,1,1,1
Rooney,1,7,7,7,7,5,7,7,7,1,7,7,1,5,7,7,7,5,3,7,7,7,3,7,7,7,1,3,3
Rorschach,2,5,4,4,7,4,4,5,4,4,4,2,6,4,4,4,5,7,4,5,2,5,4,5,4,5,4,6,2
Rose,1,4,7,2,6,2,5,2,7,1,7,6,3,5,7,6,6,6,3,3,5,6,3,6,6,6,1,3,3
Rumplestlitskin,6,7,3,2,2,6,6,6,1,7,5,4,5,6,3,2,4,6,7,4,4,6,3,1,6,6,3,6,1
Saju,5,6,2,4,4,2,4,6,5,4,4,5,6,6,4,5,4,5,5,4,2,4,5,4,4,4,2,6,4
Scarlett O.Hara,3,3,4,5,2,1,4,7,7,1,7,7,3,6,7,7,6,7,3,6,7,6,3,2,2,6,3,3,1
Scofield,2,5,3,6,3,6,6,6,5,2,7,3,3,6,4,5,6,5,2,2,3,6,5,1,6,5,3,3,1
ScoobyDoo,3,3,6,2,3,1,5,4,7,2,7,6,3,2,7,5,5,2,3,5,6,7,4,3,6,5,3,3,3
Scrat,3,3,7,5,3,1,2,6,7,2,6,6,3,3,6,6,6,2,2,5,6,6,2,3,6,7,3,3,3
Severus Snape,3,6,7,7,6,1,6,5,7,1,7,7,3,5,7,7,7,7,6,7,7,7,3,3,7,7,1,5,1
Sharvari,5,7,7,7,4,2,4,6,6,2,6,5,7,7,5,7,6,4,5,5,2,7,6,2,5,3,3,6,1
Sheldon,1,3,6,6,3,1,5,7,7,3,7,5,1,3,6,5,6,5,3,6,6,7,2,1,6,6,1,1,1
Sherlock.1,3,5,6,5,2,1,2,6,7,1,7,6,6,7,6,7,6,2,1,6,6,4,3,1,6,6,1,1,1
Sherlock,6,7,6,2,2,2,2,4,4,4,4,4,6,6,2,4,3,2,6,5,5,4,4,3,6,4,4,3,3
Sinchan,3,6,6,6,3,3,6,6,6,3,5,5,3,5,5,6,5,5,3,7,6,5,6,4,7,5,3,3,1
SIR WAY,5,4,4,5,5,4,5,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,5,4,4,2
Small Wondr,7,7,4,5,6,7,5,4,2,5,5,4,6,7,2,4,5,1,6,3,3,4,6,6,1,1,4,4,4
Smeagol,5,6,4,6,5,3,3,7,4,4,2,3,6,7,2,6,3,3,6,2,4,6,6,5,2,3,3,6,3
Snorlax,5,4,2,4,2,5,4,5,2,2,4,2,4,5,2,5,4,4,4,4,4,2,4,5,5,4,4,4,4
Spam,1,6,6,7,3,1,6,7,7,1,7,7,3,7,7,7,7,7,3,7,7,7,1,1,7,7,1,7,1
Steve Watson,2,5,6,6,3,3,6,5,6,3,6,6,6,5,6,6,6,6,4,6,4,6,5,2,6,6,2,5,5
StormShadow,3,3,5,2,2,2,5,5,2,2,4,2,2,5,2,5,6,6,3,6,6,6,3,5,2,6,6,2,6
Striker,4,2,4,4,5,3,2,6,5,3,2,5,4,6,4,5,4,2,2,5,6,5,3,3,2,5,2,5,3
Stringer Bell,1,7,6,6,6,7,7,6,6,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,1
Suraj,3,4,4,7,5,4,6,5,6,6,6,7,6,6,5,7,7,6,1,5,2,5,2,6,7,5,3,6,2
Taal,2,2,4,4,5,2,4,6,4,2,3,4,2,2,4,5,4,2,2,5,5,4,2,2,4,5,2,5,3
t-bone,1,4,4,6,4,5,6,6,6,2,5,6,5,4,5,6,6,6,2,6,6,6,3,1,6,6,1,7,1
The Sage,3,5,6,6,3,1,5,5,6,2,7,6,5,7,6,5,6,6,2,5,6,6,2,3,7,7,3,2,1
TheJerry,5,6,6,6,2,2,6,6,6,6,6,2,3,2,6,6,6,6,6,6,6,6,2,2,6,6,2,4,3
Tintin.1,5,4,6,5,5,3,4,5,6,2,2,5,6,6,5,5,4,5,2,6,4,4,6,3,6,4,5,2,2
TinTin,2,5,5,6,5,4,5,6,5,3,5,5,4,6,5,6,6,6,2,5,5,6,6,5,4,5,3,5,6
Tipsy,1,4,4,4,5,1,7,6,7,1,6,7,3,1,7,7,7,3,1,4,2,4,4,2,5,7,1,7,1
toothless,3,5,4,6,6,2,4,4,6,4,5,6,3,5,6,6,6,5,3,5,4,6,6,3,6,6,3,3,3
Tyrion,5,4,4,5,4,2,2,4,4,2,4,4,4,5,4,4,2,5,4,4,4,5,5,4,2,4,2,5,2
Velma,5,2,4,5,4,4,2,7,4,2,5,2,5,7,2,7,4,7,5,4,6,5,2,2,5,4,3,5,2
Vijay Dinanath Chauhan,3,7,7,6,3,3,2,2,7,1,7,7,4,2,6,6,6,5,3,5,5,7,2,3,7,7,3,5,3
Vincent Vega,4,5,2,4,5,2,4,4,5,4,2,4,4,4,5,5,5,4,2,5,5,4,4,4,5,5,6,2,2
Wall-E,3,6,6,2,3,1,2,6,7,6,5,6,5,6,6,6,6,5,2,6,7,5,6,2,5,6,3,7,3
Wolverine,3,6,6,6,2,1,6,6,7,3,7,6,7,6,7,7,7,7,1,7,7,7,5,3,6,6,3,3,3
Xena,3,5,6,6,3,2,6,6,6,3,6,6,5,6,6,6,6,6,3,6,5,6,2,3,6,6,3,4,3
XXX,3,3,2,2,2,2,2,4,5,2,4,3,4,6,5,6,3,5,5,5,3,5,2,6,2,5,2,3,1
yossarian,7,6,7,5,2,3,6,6,6,3,7,6,3,6,7,7,7,4,3,7,7,7,3,3,7,6,2,6,1
Z,1,3,4,4,3,3,4,6,7,3,7,6,3,4,6,6,6,4,3,4,6,6,3,1,7,6,3,1,1
Zane,3,2,6,7,4,2,5,6,7,3,6,5,1,6,5,6,7,7,3,6,6,7,7,6,6,6,3,3,3
zoozoo,5,7,4,4,2,2,6,5,5,5,2,2,7,6,5,7,5,5,2,5,2,2,5,5,2,2,5,5,2
Phoenix.1,1,3,7,7,6,1,4,7,7,3,6,6,1,2,7,7,6,1,2,7,7,7,1,1,7,7,1,5,1
TGP,3,5,7,5,4,2,5,7,7,2,2,7,2,4,6,5,7,6,2,7,6,6,4,3,7,6,3,5,3
